CodeHydro,Periode,Automne,Hiver,Printemps,Été
K329304201,1976-2005,8.8665545066313,21.094257112439298,16.917499585507247,10.07111180835471
K330201001,1976-2005,10.127197529746116,23.96359593500187,19.306646626086955,11.598680169659216
K332201001,1976-2005,11.323357666540357,26.567332960776987,21.522245124275365,13.02403631293514
K337301001,1976-2005,2.417810056081849,4.827534183787822,4.448124623188406,2.862582991938439
K338201001,1976-2005,14.837798334217508,33.3700404213672,27.95731717210145,17.27317087064859
K340081001,1976-2005,89.03039401212581,183.5310087090026,157.94728727971017,92.53380665958227
K345081001,1976-2005,90.51501419211822,186.13360350466942,160.84461606376811,94.51947056394283
K357081010,1976-2005,92.9768050602501,191.32323638924169,166.495216792029,98.1494986229388
K365081001,1976-2005,94.87201774460023,195.64784719350018,171.23531127065218,101.11319349212165
K400001010,1976-2005,216.1264049010989,450.29869181023537,387.45844312282605,219.57721037376328
K415001010,1976-2005,226.36109886282682,477.6322162375793,411.68393179673916,233.34878407914988
K447001001,1976-2005,230.58460253467223,493.66778269592834,431.96230565181156,246.70277869659216
K467000201,1976-2005,3.9610697017809775,8.063380610011206,7.398406309057971,4.355795804690363
K478000201,1976-2005,2.7648267226222054,5.506012666417631,5.126050776811594,3.019830613411506
K479301001,1976-2005,2.8187438431223946,5.6010731707134855,5.210477918115942,3.074143179186515
K480001001,1976-2005,238.8644515009473,510.2337573418005,447.0962208344203,255.61846503664347
K509090001,1976-2005,2.6246508783630165,6.005459292118043,5.1322113344202895,3.116067086478564
K518302002,1976-2005,4.523442298976885,11.538452833769146,9.924261394927536,5.224840350677904
K520090201,1976-2005,8.064083028040924,19.653738341800523,16.90997218405797,9.419017037009894
K522090001,1976-2005,8.495959866616143,20.490883991408293,17.713030678623188,9.91710802381825
K538302101,1976-2005,3.5112222281167114,7.075910883451625,6.723673380072464,4.108117611212898
K540092001,1976-2005,15.48414181280788,34.41017685431453,31.13624726702899,18.09602474312935
K555230001,1976-2005,2.5530483323228497,5.285031952185282,4.395473096014493,2.6710613470135582
K565301001,1976-2005,2.4843643232284958,5.008472718714979,4.420095090217392,2.6769234063759617
K571231001,1976-2005,10.184566531640773,20.850552725812477,18.06096318369565,10.798977640527665
K610243201,1976-2005,3.4711070583554378,7.571823048935376,6.78315230615942,3.9210391663613047
K619242001,1976-2005,9.299275121636985,19.333586877101233,17.12620276521739,10.031676950531331
K633252001,1976-2005,3.2254691208791213,8.187194375420246,6.220899623188405,3.3388316687431296
K640250011,1976-2005,6.208337891625616,14.931632388494583,11.966117243840579,6.5860277248076216
K649251001,1976-2005,10.255635758999622,23.263347164736647,19.639434728985506,11.171065253572737
K650091001,1976-2005,50.41785572716938,108.25073623384385,96.18938467608696,56.4752398050568
K671091001,1976-2005,58.09060993065555,124.03524530407172,110.80871546702899,65.05447108281422
K672000201,1976-2005,58.27585225161045,124.39395723757939,111.17510912644929,65.27921280102602
K683002001,1976-2005,303.375088,647.9670497743742,572.4518079481884,329.76428546390616
K683002101,1976-2005,303.1020265774915,647.8671534426596,574.5520509945652,331.401218106266
K720261001,1976-2005,3.600919955665024,8.878071257751214,7.36487050615942,3.9152049047270063
K731261001,1976-2005,7.875971507010231,17.71458467799776,14.920110114492754,8.195845659582265
K754000501,1976-2005,13.431818113679425,29.65218422898767,25.019558492753625,13.825703563576402
L014061001,1976-2005,11.548022062144751,34.711099441539034,23.690949651086957,10.189994962257238
L030000101,1976-2005,5.878200615005683,17.188952033993274,12.827024505434784,5.824413768779773
L032151001,1976-2005,8.968007327775673,26.80245062159133,19.442416128623186,8.683038794063759
L040061001,1976-2005,21.472058971959076,64.34209239521853,45.19110651086957,19.83852644118725
L056301001,1976-2005,4.649623765441455,14.61174043332088,10.035651135144928,4.26456606302675
L070061001,1976-2005,29.884500015157258,90.15372227007845,62.87720530724638,27.620926031879808
L094061001,1976-2005,36.75720768624479,110.74794622263727,77.606413442029,34.43858252620007
L120000301,1976-2005,38.91263633914362,116.6258724142697,82.14572873768115,36.67297673946501
L232440000,1976-2005,8.796781784388026,22.805583271572655,16.074510814130434,7.902651546720411
L234161001,1976-2005,10.778103080712391,27.68347368098618,19.610756469565217,9.71004518908025
L250161001,1976-2005,13.98190674801061,35.24129948673889,25.198489618840583,12.667498314767313
L320062001,1976-2005,59.907628763546796,168.0445232241315,121.71349605036232,56.97392537852693
L420000301,1976-2005,6.310526778325123,18.81754747366455,13.938921053260868,6.18348901355808
L421071001,1976-2005,7.786740511178476,22.65892155472544,17.29942171775362,7.880233743862221
L422071001,1976-2005,9.067803105721865,26.269677075084047,20.265600591304345,9.296877668376695
L440000101,1976-2005,3.001879485032209,7.096175913335824,6.292212497101449,3.4556614210333456
L441171001,1976-2005,4.361293667298218,10.57306648860665,9.288020619202898,4.968402658849395
L453000201,1976-2005,15.312596866237211,41.82334299103474,33.684034662318844,16.353822864785638
L471071001,1976-2005,19.30305983402804,50.94322720918939,41.58711094492754,20.62233586258703
L510181001,1976-2005,3.823207504357711,11.168500515128876,8.693809138405797,4.0708206060828145
L530181001,1976-2005,9.245585637741568,27.293235278670156,20.2684810615942,9.480404652620008
L541181001,1976-2005,11.67478744789693,33.44645935338065,25.35080961231884,12.033135175155735
L556000102,1976-2005,2.991275731337628,6.939292601793052,5.949033992753623,3.196286634298278
L574191001,1976-2005,6.8893567495263355,16.411460520732163,13.659111691666666,7.201417359838769
L602071001,1976-2005,42.210583721864346,110.27174246283154,89.2757854460145,44.65913008611213
L620201002,1976-2005,3.965083210685866,8.497646209936496,7.204594378623189,4.0328363400513005
L620201201,1976-2005,3.4798047548313757,7.434169010085917,6.336276702898551,3.562848899596922
L700061001,1976-2005,108.53151402235694,292.02439785394097,222.99794508985508,108.32639151850493
L800001020,1976-2005,427.68636126600984,975.5122221684722,831.3008348159419,458.48541174166365
L814211001,1976-2005,3.633588647214854,11.200082632050803,6.510632566666666,2.9605346793697325
L822211001,1976-2005,5.297156358469117,15.62554134889802,9.427389431159419,4.408104144741664
L823211001,1976-2005,5.5576358624478965,16.24779056705267,9.895902960144927,4.657383477464273
L834301001,1976-2005,3.0412368548692688,8.33050253231229,5.294524376811594,2.6216648204470503
L852301001,1976-2005,2.328236667298219,4.587521224505043,3.845968334782609,2.1973281898131183
L922000101,1976-2005,4.620420444107617,9.474588318266717,8.121209319565217,4.596659877244412
M005061020,1976-2005,4.376448256157635,11.96011581359731,8.29789156231884,3.866726881641627
M024301000,1976-2005,2.352334325502084,5.555143419125887,4.076218494565217,2.1355362352510077
M025061020,1976-2005,13.307384880636604,35.37400298580501,24.553836375724636,12.04541528728472
M036151010,1976-2005,2.2511323395225467,7.360790440044826,4.350265309782609,1.4559021095639428
M040151010,1976-2005,4.656611718075029,13.56861510048562,8.800516157608696,3.6713446713081717
M042151010,1976-2005,6.636990346722243,18.0429098270452,12.536588899637682,5.731296801758886
M050061010,1976-2005,22.922785245547555,60.16860522525215,42.641033503985504,20.85421429901063
M068061010,1976-2005,30.898393330807124,79.45178604856183,57.52694300108696,28.679664997801392
M102000101,1976-2005,1.3329059420234939,3.414267685468808,2.0431648833333336,0.8315319245144742
M104161010,1976-2005,2.5605596043956043,6.46085436981696,4.310295960507246,1.9817430831806522
M112481601,1976-2005,8.676252283061766,19.11899060739634,14.42039596594203,7.404969217295713
M115161010,1976-2005,11.448861594543388,24.625176429585355,19.237891593115943,10.242310906192744
M123303000,1976-2005,2.1488984209928006,4.800254485244677,3.8940510126811594,2.144443648222792
M134161010,1976-2005,18.190537674497918,39.35093932274935,31.650967194565215,17.0268993198974
M153161010,1976-2005,23.95827835051156,51.63680221441912,42.46544581304347,22.937919525467205
M304091001,1976-2005,3.6448897893141345,10.884432334703027,6.822818113043478,3.1860754342249904
M306091010,1976-2005,4.946860674876848,14.724267118416138,9.366489771014493,4.376325570538659
M313301010,1976-2005,3.2342721762031075,10.03355028726186,6.435868299637681,2.7584520296812016
M323091010,1976-2005,12.605725355058734,37.41964837317893,24.124067347101448,11.035157907658483
M334091010,1976-2005,16.62523084994316,48.15998538812104,31.577217085144927,14.652199093807255
M360091010,1976-2005,21.519042624857903,60.584214074710495,40.195713589492755,19.030466191278858
M363091010,1976-2005,22.398951143993937,62.649570542771755,41.70385793949275,19.828315887871014
M377181010,1976-2005,3.1502283543008716,7.741010847964139,5.319008760869566,2.7603607493587394
M385181010,1976-2005,5.522926990147783,13.55721097908106,9.421054126811594,4.887223994503481
M386181010,1976-2005,5.885518857521789,14.39469265446395,10.033690915579712,5.215577742030048
M522201010,1976-2005,3.134784660098522,7.477144209936497,5.445863720652174,2.8882687251740564
M530001010,1976-2005,535.089589624479,1244.2699212618604,1037.4236029079711,564.9149414719677
M624001000,1976-2005,539.3951807101175,1259.877830850579,1058.1185601094203,577.187925534628
M711241010,1976-2005,5.8401514789693065,17.440649522226373,9.458704864492754,4.1942110487358
M730242011,1976-2005,8.587928854111407,24.991828411281283,14.089090964130435,6.48075669109564
M745301010,1976-2005,3.7660681133004927,10.886743883825178,5.892743170652174,2.753759378526933
O001004003,1976-2005,10.110080690791966,14.989719266716472,41.652684211231886,22.700165330157567
O020002001,1976-2005,28.366874954149303,49.755827586103855,105.89614070036231,54.89722301026017
O020004002,1976-2005,28.583702200833653,50.43308261001121,106.44948785217392,55.432107462440456
O039252001,1976-2005,8.088895593406594,16.73334704856182,28.314502628985508,13.94919503591059
O050252002,1976-2005,15.704663614247822,33.45779933246171,52.17534774202898,25.76413341407109
O059251001,1976-2005,18.21211027927245,39.55843340418379,58.88934823913044,29.180057890069623
O066001001,1976-2005,51.05913348086397,100.52353790287634,176.64015322173913,91.9607994840601
O082001001,1976-2005,54.405030960591134,108.18219214867389,184.49410639710146,96.0462222594357
O120251001,1976-2005,11.306285938613112,20.563083853193874,54.78611990652173,24.800953144741662
O125251001,1976-2005,14.531412154982947,29.76970484796414,66.01224609891304,29.719572068889704
O137251002,1976-2005,16.352108394467603,34.079940644378034,70.12041778804348,31.98691963613045
O153291001,1976-2005,4.365238350511557,11.41528158050056,13.26344419963768,5.537958920850128
O166291001,1976-2005,7.574564852216749,18.458852803511395,20.22796975362319,9.154504997801393
O171251001,1976-2005,24.644408105342933,53.93189358834516,91.77974938369564,42.116940050567976
O188251001,1976-2005,27.204152645320196,58.9265344811356,96.77586270978261,45.091287325760355
O198431001,1976-2005,1.7284151636983707,3.354014961150541,3.223694566666667,2.0281395804323927
O200001001,1976-2005,83.73216544334974,171.63676988382517,285.75111079927535,144.03041771931112
O222251001,1976-2005,2.962795984463812,5.637670005229735,5.140619241666667,3.0560676046170756
